"Data","Último","Abertura","Máxima","Mínima","Var%"
"13.03.2014","2,3641","2,3550","2,3677","2,3371","0,49%"
"12.03.2014","2,3525","2,3632","2,3739","2,3525","-0,49%"
"11.03.2014","2,3642","2,3493","2,3687","2,3376","0,61%"
"10.03.2014","2,3498","2,3459","2,3567","2,3265","0,39%"
"07.03.2014","2,3406","2,3232","2,3498","2,3217","0,75%"
"06.03.2014","2,3232","2,3170","2,3250","2,2996","0,22%"
"05.03.2014","2,3181","2,3408","2,3408","2,3138","-0,99%"
"04.03.2014","2,3412","2,3427","2,3439","2,3412","-0,12%"
"03.03.2014","2,3441","2,3384","2,3441","2,3384","0,24%"
"28.02.2014","2,3384","2,3181","2,3474","2,3181","0,71%"
"27.02.2014","2,3220","2,3510","2,3567","2,3178","-1,18%"
"26.02.2014","2,3497","2,3416","2,3571","2,3336","0,37%"
"25.02.2014","2,3411","2,3405","2,3449","2,3277","0,08%"
"24.02.2014","2,3392","2,3468","2,3535","2,3270","-0,27%"
"21.02.2014","2,3456","2,3685","2,3780","2,3417","-1,05%"
"20.02.2014","2,3704","2,3971","2,3971","2,3628","-0,99%"
"19.02.2014","2,3942","2,3958","2,4127","2,3845","-0,05%"
"18.02.2014","2,3955","2,3883","2,4016","2,3835","0,23%"
"17.02.2014","2,3900","2,3861","2,3936","2,3786","0,04%"
"14.02.2014","2,3891","2,3941","2,3994","2,3788","-0,20%"
"13.02.2014","2,3938","2,4258","2,4341","2,3926","-1,31%"
"12.02.2014","2,4255","2,4000","2,4271","2,3973","1,04%"
"11.02.2014","2,4005","2,4093","2,4181","2,3955","-0,35%"
"10.02.2014","2,4090","2,3817","2,4118","2,3808","1,21%"
"07.02.2014","2,3802","2,3812","2,3937","2,3695","-0,10%"
"06.02.2014","2,3825","2,3986","2,4137","2,3774","-0,67%"
"05.02.2014","2,3986","2,4094","2,4200","2,3925","-0,29%"
"04.02.2014","2,4055","2,4305","2,4380","2,4047","-1,42%"
"03.02.2014","2,4402","2,4127","2,4405","2,4000","1,14%"
"31.01.2014","2,4127","2,4083","2,4376","2,3909","0,04%"
"30.01.2014","2,4118","2,4368","2,4440","2,4075","-0,96%"
"29.01.2014","2,4352","2,4223","2,4506","2,4223","0,37%"
"28.01.2014","2,4263","2,4233","2,4300","2,4035","0,20%"
"27.01.2014","2,4215","2,4010","2,4294","2,3905","0,97%"
"24.01.2014","2,3982","2,3998","2,4328","2,3938","0,10%"
"23.01.2014","2,3959","2,3720","2,4057","2,3678","0,96%"
"22.01.2014","2,3731","2,3605","2,3773","2,3538","0,66%"
"21.01.2014","2,3575","2,3430","2,3681","2,3408","0,57%"
"20.01.2014","2,3442","2,3422","2,3442","2,3273","0,07%"
"17.01.2014","2,3426","2,3613","2,3659","2,3392","-0,89%"
"16.01.2014","2,3636","2,3596","2,3777","2,3439","0,13%"
"15.01.2014","2,3605","2,3495","2,3605","2,3397","0,43%"
"14.01.2014","2,3503","2,3568","2,3682","2,3477","-0,40%"
"13.01.2014","2,3598","2,3607","2,3627","2,3382","0,06%"
"10.01.2014","2,3584","2,3901","2,3972","2,3565","-1,34%"
"09.01.2014","2,3904","2,3945","2,4036","2,3887","-0,26%"
"08.01.2014","2,3967","2,3720","2,4002","2,3677","1,02%"
"07.01.2014","2,3725","2,3803","2,3803","2,3550","-0,15%"
"06.01.2014","2,3761","2,3810","2,3857","2,3707","-0,02%"
"03.01.2014","2,3765","2,3792","2,3891","2,3680","-0,46%"
"02.01.2014","2,3876","2,3777","2,4096","2,3773","1,08%"
"01.01.2014","2,3621","2,3621","2,3621","2,3621","0,00%"
"31.12.2013","2,3621","2,3622","2,3622","2,3621","0,00%"
"30.12.2013","2,3621","2,3384","2,3651","2,3258","1,01%"
"27.12.2013","2,3384","2,3585","2,3585","2,3347","-0,57%"
"26.12.2013","2,3518","2,3575","2,3651","2,3460","-0,22%"
"25.12.2013","2,3571","2,3570","2,3571","2,3570","-0,01%"
"24.12.2013","2,3573","2,3573","2,3575","2,3572","0,01%"
"23.12.2013","2,3571","2,3876","2,3876","2,3567","-1,28%"
"20.12.2013","2,3876","2,3563","2,3892","2,3563","1,45%"
"19.12.2013","2,3535","2,3315","2,3620","2,3315","1,17%"
"18.12.2013","2,3262","2,3190","2,3632","2,3147","0,29%"
"17.12.2013","2,3194","2,3300","2,3307","2,3137","-0,36%"
"16.12.2013","2,3278","2,3318","2,3353","2,3087","-0,09%"
"13.12.2013","2,3300","2,3348","2,3401","2,3265","-0,12%"
"12.12.2013","2,3327","2,3416","2,3518","2,3247","-0,37%"
"11.12.2013","2,3413","2,3060","2,3440","2,3060","1,40%"
"10.12.2013","2,3090","2,3175","2,3197","2,3042","-0,46%"
"09.12.2013","2,3197","2,3310","2,3321","2,3148","-0,30%"
"06.12.2013","2,3267","2,3575","2,3757","2,3217","-1,46%"
"05.12.2013","2,3612","2,3906","2,3960","2,3522","-1,26%"
"04.12.2013","2,3914","2,3758","2,3921","2,3628","0,66%"
"03.12.2013","2,3758","2,3536","2,3792","2,3483","0,84%"
"02.12.2013","2,3559","2,3362","2,3583","2,3322","0,86%"
"29.11.2013","2,3358","2,3176","2,3408","2,3101","0,79%"
"28.11.2013","2,3176","2,3294","2,3438","2,3123","-0,53%"
"27.11.2013","2,3300","2,2948","2,3317","2,2940","1,45%"
"26.11.2013","2,2967","2,2837","2,3079","2,2837","0,57%"
"25.11.2013","2,2837","2,2812","2,2962","2,2767","0,22%"
"22.11.2013","2,2788","2,3056","2,3175","2,2763","-1,19%"
"21.11.2013","2,3062","2,2702","2,3176","2,2702","1,52%"
"20.11.2013","2,2717","2,2713","2,2736","2,2692","0,02%"
"19.11.2013","2,2713","2,2637","2,2797","2,2502","0,35%"
"18.11.2013","2,2633","2,3194","2,3195","2,2622","-2,40%"
"15.11.2013","2,3190","2,3141","2,3190","2,3122","0,23%"
"14.11.2013","2,3137","2,3342","2,3394","2,3127","-0,85%"
"13.11.2013","2,3335","2,3333","2,3400","2,3200","0,01%"
"12.11.2013","2,3333","2,3308","2,3486","2,3230","0,11%"
"11.11.2013","2,3308","2,3138","2,3438","2,3028","0,72%"
"08.11.2013","2,3142","2,3062","2,3447","2,2948","0,36%"
"07.11.2013","2,3058","2,2881","2,3138","2,2702","0,89%"
"06.11.2013","2,2855","2,2830","2,2984","2,2695","0,14%"
"05.11.2013","2,2823","2,2461","2,2942","2,2439","1,63%"
"04.11.2013","2,2458","2,2521","2,2538","2,2368","-0,48%"
"01.11.2013","2,2567","2,2349","2,2631","2,2349","0,74%"
"31.10.2013","2,2401","2,1845","2,2417","2,1845","2,57%"
"30.10.2013","2,1840","2,1845","2,1975","2,1800","-0,05%"
"29.10.2013","2,1850","2,1805","2,1863","2,1745","0,21%"
"28.10.2013","2,1805","2,1895","2,1895","2,1785","-0,33%"
"25.10.2013","2,1877","2,2037","2,2043","2,1801","-0,74%"
"24.10.2013","2,2040","2,1915","2,2098","2,1915","0,73%"
"23.10.2013","2,1881","2,1723","2,1909","2,1717","0,72%"
"22.10.2013","2,1725","2,1735","2,1900","2,1643","-0,05%"
"21.10.2013","2,1735","2,1689","2,1828","2,1663","0,21%"
"18.10.2013","2,1689","2,1527","2,1791","2,1464","0,76%"
"17.10.2013","2,1525","2,1797","2,1818","2,1505","-1,29%"
"16.10.2013","2,1806","2,1780","2,1853","2,1547","0,13%"
"15.10.2013","2,1777","2,1822","2,1909","2,1762","-0,18%"
