"Data","Último","Abertura","Máxima","Mínima","Var%"
"19.11.2021","5,6137","5,5787","5,6140","5,5215","1,00%"
"18.11.2021","5,5581","5,5291","5,5768","5,5248","0,52%"
"17.11.2021","5,5292","5,4986","5,5359","5,4655","0,48%"
"16.11.2021","5,5028","5,4591","5,5093","5,4296","0,83%"
"15.11.2021","5,4575","5,4570","5,4580","5,4570","-0,02%"
"12.11.2021","5,4588","5,4044","5,4686","5,3927","1,11%"
"11.11.2021","5,3989","5,4945","5,4945","5,3879","-1,68%"
"10.11.2021","5,4910","5,5010","5,5103","5,4357","0,19%"
"09.11.2021","5,4804","5,5477","5,5495","5,4559","-1,15%"
"08.11.2021","5,5440","5,5667","5,5979","5,5328","0,02%"
"05.11.2021","5,5428","5,5988","5,6075","5,5012","-1,06%"
"04.11.2021","5,6020","5,5880","5,6281","5,5627","0,89%"
"03.11.2021","5,5525","5,6807","5,7000","5,5447","-2,24%"
"02.11.2021","5,6795","5,6849","5,6849","5,6800","-0,04%"
"01.11.2021","5,6815","5,6221","5,6888","5,6206","0,79%"
"29.10.2021","5,6372","5,6464","5,6636","5,5972","-0,16%"
"28.10.2021","5,6464","5,5374","5,6636","5,5367","1,96%"
"27.10.2021","5,5380","5,5668","5,5924","5,5367","-0,51%"
"26.10.2021","5,5666","5,5557","5,6068","5,5466","0,19%"
"25.10.2021","5,5563","5,6533","5,6587","5,5367","-1,61%"
"22.10.2021","5,6474","5,6584","5,7547","5,6214","-0,18%"
"21.10.2021","5,6577","5,5987","5,6907","5,5979","1,08%"
"20.10.2021","5,5975","5,5851","5,6026","5,5198","0,23%"
"19.10.2021","5,5844","5,5128","5,6125","5,5128","1,32%"
"18.10.2021","5,5117","5,4576","5,5434","5,4576","0,93%"
"15.10.2021","5,4611","5,5139","5,5139","5,4337","-0,94%"
"14.10.2021","5,5132","5,5139","5,5308","5,4670","-0,00%"
"13.10.2021","5,5133","5,5368","5,5737","5,4988","-0,35%"
"12.10.2021","5,5325","5,5370","5,5372","5,5328","-0,08%"
"11.10.2021","5,5367","5,5073","5,5445","5,4946","0,52%"
"08.10.2021","5,5082","5,5187","5,5324","5,4768","-0,19%"
"07.10.2021","5,5188","5,4937","5,5295","5,4667","0,50%"
"06.10.2021","5,4912","5,4770","5,5381","5,4755","0,30%"
"05.10.2021","5,4748","5,4546","5,4879","5,4240","0,39%"
"04.10.2021","5,4535","5,3614","5,4593","5,3614","1,67%"
"01.10.2021","5,3639","5,4432","5,4432","5,3527","-1,45%"
"30.09.2021","5,4428","5,4120","5,4767","5,3668","0,50%"
"29.09.2021","5,4157","5,4286","5,4461","5,3920","-0,25%"
"28.09.2021","5,4293","5,3920","5,4521","5,3863","0,70%"
"27.09.2021","5,3914","5,3384","5,3945","5,3067","1,07%"
"24.09.2021","5,3344","5,3039","5,3549","5,3023","0,59%"
"23.09.2021","5,3030","5,2618","5,3124","5,2561","0,27%"
"22.09.2021","5,2888","5,2706","5,3191","5,2495","0,36%"
"21.09.2021","5,2699","5,3252","5,3374","5,2626","-1,02%"
"20.09.2021","5,3240","5,2851","5,3779","5,2849","0,68%"
"17.09.2021","5,2883","5,2568","5,3472","5,2509","0,66%"
"16.09.2021","5,2535","5,2375","5,2801","5,2315","0,61%"
"15.09.2021","5,2219","5,2408","5,2722","5,2148","-0,34%"
"14.09.2021","5,2398","5,2393","5,2642","5,1980","0,48%"
"13.09.2021","5,2147","5,2490","5,2659","5,2017","-0,58%"
"10.09.2021","5,2454","5,1677","5,2712","5,1637","0,92%"
"09.09.2021","5,1976","5,3252","5,3347","5,1930","-2,33%"
"08.09.2021","5,3214","5,2016","5,3344","5,1955","2,94%"
"07.09.2021","5,1692","5,1705","5,1708","5,1704","-0,00%"
"06.09.2021","5,1693","5,1920","5,2126","5,1547","-0,44%"
"03.09.2021","5,1923","5,1830","5,2017","5,1310","0,20%"
"02.09.2021","5,1819","5,1864","5,2013","5,1420","-0,08%"
"01.09.2021","5,1858","5,1694","5,1984","5,1417","0,71%"
"31.08.2021","5,1492","5,1845","5,1973","5,1154","-0,67%"
"30.08.2021","5,1840","5,1999","5,2266","5,1817","-0,30%"
"27.08.2021","5,1996","5,2577","5,2615","5,1869","-1,00%"
"26.08.2021","5,2522","5,2097","5,2676","5,2097","0,78%"
"25.08.2021","5,2117","5,2482","5,2709","5,2058","-0,66%"
"24.08.2021","5,2463","5,3801","5,3828","5,2452","-2,49%"
"23.08.2021","5,3802","5,3795","5,4023","5,3440","0,06%"
"20.08.2021","5,3770","5,4155","5,4757","5,3656","-0,69%"
"19.08.2021","5,4142","5,4187","5,4560","5,3795","0,65%"
"18.08.2021","5,3794","5,2839","5,3974","5,2625","1,60%"
"17.08.2021","5,2948","5,2820","5,3046","5,2358","0,67%"
"16.08.2021","5,2595","5,2439","5,2971","5,2285","0,25%"
"13.08.2021","5,2466","5,2532","5,2816","5,2198","-0,11%"
"12.08.2021","5,2524","5,2193","5,2618","5,2089","0,65%"
"11.08.2021","5,2185","5,1898","5,2347","5,1636","0,56%"
"10.08.2021","5,1895","5,2334","5,2631","5,1847","-0,83%"
"09.08.2021","5,2331","5,2325","5,2993","5,2146","0,06%"
"06.08.2021","5,2301","5,2467","5,2757","5,2049","-0,36%"
"05.08.2021","5,2488","5,1700","5,2586","5,1101","1,55%"
"04.08.2021","5,1685","5,1975","5,2463","5,1649","-0,54%"
"03.08.2021","5,1967","5,1708","5,2750","5,1651","0,43%"
"02.08.2021","5,1747","5,2158","5,2193","5,1136","-0,72%"
"30.07.2021","5,2123","5,0773","5,2287","5,0754","2,58%"
"29.07.2021","5,0812","5,1165","5,1165","5,0406","-0,67%"
"28.07.2021","5,1157","5,1710","5,1926","5,1040","-1,03%"
"27.07.2021","5,1690","5,1769","5,2061","5,1486","-0,14%"
"26.07.2021","5,1761","5,2051","5,2304","5,1516","-0,47%"
"23.07.2021","5,2006","5,1858","5,2332","5,1583","0,01%"
"22.07.2021","5,2003","5,1887","5,2249","5,1670","0,25%"
"21.07.2021","5,1874","5,2413","5,2782","5,1806","-0,63%"
"20.07.2021","5,2205","5,2526","5,2950","5,2017","-0,60%"
"19.07.2021","5,2519","5,1185","5,2591","5,1185","2,68%"
"16.07.2021","5,1147","5,1129","5,1281","5,0742","0,06%"
"15.07.2021","5,1118","5,0715","5,1382","5,0566","0,81%"
"14.07.2021","5,0706","5,1638","5,1656","5,0666","-1,77%"
"13.07.2021","5,1622","5,1747","5,2232","5,1479","-0,21%"
"12.07.2021","5,1730","5,2586","5,2850","5,1630","-1,61%"
"08.07.2021","5,2579","5,2315","5,3145","5,2186","0,50%"
"07.07.2021","5,2315","5,1969","5,2815","5,1696","0,67%"
"06.07.2021","5,1969","5,0968","5,2175","5,0753","2,08%"
"05.07.2021","5,0910","5,0551","5,1007","5,0459","0,66%"
"02.07.2021","5,0575","5,0507","5,0745","4,9875","0,20%"
"01.07.2021","5,0476","4,9705","5,0557","4,9467","1,59%"
"30.06.2021","4,9686","4,9566","5,0241","4,9527","0,26%"
"29.06.2021","4,9559","4,9325","4,9714","4,9209","0,64%"
"28.06.2021","4,9244","4,9307","4,9724","4,9171","-0,18%"
"25.06.2021","4,9335","4,9143","4,9750","4,8929","0,40%"
"24.06.2021","4,9137","4,9671","4,9720","4,8977","-1,07%"
"23.06.2021","4,9667","4,9577","4,9802","4,9373","0,19%"
"22.06.2021","4,9574","5,0143","5,0459","4,9569","-1,11%"
"21.06.2021","5,0130","5,0753","5,0824","5,0129","-1,53%"
"18.06.2021","5,0907","5,0077","5,1100","4,9815","1,69%"
"17.06.2021","5,0059","5,0587","5,0760","5,0068","-0,96%"
"16.06.2021","5,0545","5,0436","5,0821","4,9921","0,18%"
"15.06.2021","5,0453","5,0635","5,1041","5,0385","-0,29%"
"14.06.2021","5,0601","5,1153","5,1190","5,0539","-1,11%"
"11.06.2021","5,1171","5,0590","5,1395","5,0530","1,22%"
"10.06.2021","5,0552","5,0650","5,0922","5,0323","-0,14%"
"09.06.2021","5,0621","5,0363","5,0863","5,0181","0,59%"
"08.06.2021","5,0325","5,0468","5,0689","5,0205","-0,25%"
"07.06.2021","5,0451","5,0466","5,0703","5,0172","-0,09%"
"04.06.2021","5,0495","5,1135","5,1154","5,0320","-0,55%"
"03.06.2021","5,0775","5,0786","5,0786","5,0780","0,04%"
"02.06.2021","5,0754","5,1515","5,1754","5,0671","-1,47%"
"01.06.2021","5,1509","5,2210","5,2212","5,1399","-1,27%"
"31.05.2021","5,2172","5,2228","5,2632","5,1982","-0,15%"
"28.05.2021","5,2252","5,2400","5,2664","5,2088","-0,25%"
"27.05.2021","5,2383","5,3120","5,3133","5,2346","-1,38%"
"26.05.2021","5,3115","5,3289","5,3435","5,2867","-0,39%"
"25.05.2021","5,3320","5,3210","5,3468","5,2941","0,27%"
"24.05.2021","5,3175","5,3664","5,3746","5,3095","-0,82%"
"21.05.2021","5,3617","5,2843","5,3710","5,2703","1,50%"
"20.05.2021","5,2825","5,3105","5,3109","5,2699","-0,51%"
"19.05.2021","5,3094","5,2608","5,3261","5,2586","0,93%"
"18.05.2021","5,2605","5,2754","5,2814","5,2298","-0,24%"
"17.05.2021","5,2729","5,2725","5,3205","5,2442","0,00%"
"14.05.2021","5,2728","5,3090","5,3090","5,2442","-0,68%"
"13.05.2021","5,3090","5,3043","5,3331","5,2519","0,05%"
"12.05.2021","5,3061","5,2227","5,3198","5,2105","1,63%"
"11.05.2021","5,2208","5,2273","5,2823","5,2031","-0,12%"
"10.05.2021","5,2272","5,2340","5,2526","5,1964","-0,18%"
"07.05.2021","5,2368","5,2768","5,2952","5,2025","-0,74%"
"06.05.2021","5,2760","5,3573","5,3752","5,2567","-1,46%"
"05.05.2021","5,3542","5,4455","5,4478","5,3512","-1,64%"
"04.05.2021","5,4435","5,4398","5,4843","5,4113","0,03%"
"03.05.2021","5,4420","5,4360","5,4561","5,3727","0,10%"
"30.04.2021","5,4366","5,3383","5,4489","5,3351","1,86%"
"29.04.2021","5,3375","5,3428","5,3798","5,3274","-0,10%"
"28.04.2021","5,3430","5,4526","5,4561","5,3429","-1,95%"
"27.04.2021","5,4490","5,4366","5,4673","5,4097","0,23%"
"26.04.2021","5,4364","5,4757","5,4904","5,4318","-0,71%"
"23.04.2021","5,4751","5,4446","5,5240","5,4239","0,56%"
"22.04.2021","5,4448","5,5669","5,5669","5,4373","-2,23%"
"21.04.2021","5,5690","5,5692","5,5695","5,5692","0,01%"
"20.04.2021","5,5687","5,5461","5,5883","5,5022","0,41%"
"19.04.2021","5,5461","5,5873","5,6224","5,5262","-0,76%"
"16.04.2021","5,5883","5,6142","5,6781","5,5658","-0,50%"
"15.04.2021","5,6162","5,6540","5,6603","5,5951","-0,64%"
"14.04.2021","5,6526","5,7180","5,7359","5,6452","-1,12%"
"13.04.2021","5,7166","5,7340","5,7562","5,6629","-0,29%"
"12.04.2021","5,7333","5,6822","5,7425","5,6300","0,90%"
"09.04.2021","5,6821","5,5682","5,6852","5,5665","1,98%"
"08.04.2021","5,5720","5,6136","5,6174","5,5381","-0,75%"
"07.04.2021","5,6143","5,5904","5,6550","5,5474","0,43%"
"06.04.2021","5,5904","5,6642","5,6698","5,5742","-1,29%"
"05.04.2021","5,6632","5,7100","5,7101","5,6323","-0,78%"
"02.04.2021","5,7075","5,7080","5,7080","5,7080","0,01%"
"01.04.2021","5,7071","5,6330","5,7276","5,6080","1,34%"
"31.03.2021","5,6315","5,7740","5,7768","5,6214","-2,48%"
"30.03.2021","5,7745","5,7824","5,8034","5,7200","-0,09%"
"29.03.2021","5,7799","5,7550","5,8069","5,7359","0,40%"
"26.03.2021","5,7566","5,6473","5,7589","5,6448","1,93%"
"25.03.2021","5,6475","5,6213","5,6821","5,6174","0,47%"
"24.03.2021","5,6209","5,5216","5,6432","5,4891","1,80%"
"23.03.2021","5,5214","5,5045","5,5509","5,4640","0,31%"
"22.03.2021","5,5045","5,5087","5,5483","5,4936","0,23%"
"19.03.2021","5,4917","5,5609","5,5640","5,4482","-1,24%"
"18.03.2021","5,5604","5,5860","5,5860","5,4763","-0,41%"
"17.03.2021","5,5832","5,6249","5,6827","5,5688","-0,74%"
"16.03.2021","5,6246","5,6252","5,6344","5,5574","0,16%"
"15.03.2021","5,6156","5,5501","5,6568","5,5310","1,15%"
"12.03.2021","5,5518","5,5362","5,5873","5,5324","0,29%"
"11.03.2021","5,5357","5,6078","5,6215","5,5257","-2,40%"
"10.03.2021","5,6720","5,7902","5,8144","5,6443","-2,25%"
"09.03.2021","5,8025","5,8753","5,8787","5,7675","-1,24%"
"08.03.2021","5,8755","5,6898","5,8769","5,6898","3,25%"
"05.03.2021","5,6908","5,6697","5,7232","5,6517","0,38%"
